 BBQNNRKR bbqnnrkr
 BRNNQKRB brnnqkrb
 RBBNNQKR rbbnnqkr
 RNBBNQKR rnbbnqkr
 RNBNQBKR rnbnqbkr
 RNBNQKRB rnbnqkrb
 RBNNBQKR rbnnbqkr
 RNNBBQKR rnnbbqkr
 RNNQBBKR rnnqbbkr
 RNNQBKRB rnnqbkrb
 RBNNQKBR rbnnqkbr
 RNNBQKBR rnnbqkbr
 RNNQKBBR rnnqkbbr
 RNNQKRBB rnnqkrbb
 BBRNNKQR bbrnnkqr
 BRNBNKQR brnbnkqr
 BRNNKBQR brnnkbqr
 BRNNKQRB brnnkqrb
 RBBNNKQR rbbnnkqr
 RNBBNKQR rnbbnkqr
 RNBNKBQR rnbnkbqr
 RNBNKQRB rnbnkqrb
 RBNNBKQR rbnnbkqr
 RNNBBKQR rnnbbkqr
 RNNKBBQR rnnkbbqr
 RNNKBQRB rnnkbqrb
 RBNNKQBR rbnnkqbr
 RNNBKQBR rnnbkqbr
 RNNKQBBR rnnkqbbr
 RNNKQRBB rnnkqrbb
 BBRNNKRQ bbrnnkrq
 BRNBNKRQ brnbnkrq
 BRNNKBRQ brnnkbrq
 BRNNKRQB brnnkrqb
 RBBNNKRQ rbbnnkrq
 RNBBNKRQ rnbbnkrq
 RNBNKBRQ rnbnkbrq
 RNBNKRQB rnbnkrqb
 RBNNBKRQ rbnnbkrq
 RNNBBKRQ rnnbbkrq
 RNNKBBRQ rnnkbbrq
 RNNKBRQB rnnkbrqb
 RBNNKRBQ rbnnkrbq
 RNNBKRBQ rnnbkrbq
 RNNKRBBQ rnnkrbbq
 RNNKRQBB rnnkrqbb
 BBQRNKNR bbqrnknr
 BQRBNKNR bqrbnknr
 BQRNKBNR bqrnkbnr
 BQRNKNRB bqrnknrb
 QBBRNKNR qbbrnknr
 QRBBNKNR qrbbnknr
 QRBNKBNR qrbnkbnr
 QRBNKNRB qrbnknrb
 QBRNBKNR qbrnbknr
 QRNBBKNR qrnbbknr
 QRNKBBNR qrnkbbnr
 QRNKBNRB qrnkbnrb
 QBRNKNBR qbrnknbr
 QRNBKNBR qrnbknbr
 QRNKNBBR qrnknbbr
 QRNKNRBB qrnknrbb
 BBRQNKNR bbrqnknr
 BRQBNKNR brqbnknr
 BRQNKBNR brqnkbnr
 BRQNKNRB brqnknrb
 RBBQNKNR rbbqnknr
 RQBBNKNR rqbbnknr
 RQBNKBNR rqbnkbnr
 RQBNKNRB rqbnknrb
 RBQNBKNR rbqnbknr
 RQNBBKNR rqnbbknr
 RQNKBBNR rqnkbbnr
 RQNKBNRB rqnkbnrb
 RBQNKNBR rbqnknbr
 RQNBKNBR rqnbknbr
 RQNKNBBR rqnknbbr
 RQNKNRBB rqnknrbb
 BBRNQKNR bbrnqknr
 BRNBQKNR brnbqknr
 BRNQKBNR brnqkbnr
 BRNQKNRB brnqknrb
 RBBNQKNR rbbnqknr
 RNBBQKNR rnbbqknr
 RNBQKBNR rnbqkbnr
 RNBQKNRB rnbqknrb
 RBNQBKNR rbnqbknr
 RNQBBKNR rnqbbknr
 RNQKBBNR rnqkbbnr
 RNQKBNRB rnqkbnrb
 RBNQKNBR rbnqknbr
 RNQBKNBR rnqbknbr
 RNQKNBBR rnqknbbr
 RNQKNRBB rnqknrbb
 BBRNKQNR bbrnkqnr
 BRNBKQNR brnbkqnr
 BRNKQBNR brnkqbnr
 BRNKQNRB brnkqnrb
 RBBNKQNR rbbnkqnr
 RNBBKQNR rnbbkqnr
 RNBKQBNR rnbkqbnr
 RNBKQNRB rnbkqnrb
 RBNKBQNR rbnkbqnr
 RNKBBQNR rnkbbqnr
 RNKQBBNR rnkqbbnr
 RNKQBNRB rnkqbnrb
 RBNKQNBR rbnkqnbr
 RNKBQNBR rnkbqnbr
 RNKQNBBR rnkqnbbr
 RNKQNRBB rnkqnrbb
 BBRNKNQR bbrnknqr
 BRNBKNQR brnbknqr
 BRNKNBQR brnknbqr
 BRNKNQRB brnknqrb
 RBBNKNQR rbbnknqr
 RNBBKNQR rnbbknqr
 RNBKNBQR rnbknbqr
 RNBKNQRB rnbknqrb
 RBNKBNQR rbnkbnqr
 RNKBBNQR rnkbbnqr
 RNKNBBQR rnknbbqr
 RNKNBQRB rnknbqrb
 RBNKNQBR rbnknqbr
 RNKBNQBR rnkbnqbr
 RNKNQBBR rnknqbbr
 RNKNQRBB rnknqrbb
 BBRNKNRQ bbrnknrq
 BRNBKNRQ brnbknrq
 BRNKNBRQ brnknbrq
 BRNKNRQB brnknrqb
 RBBNKNRQ rbbnknrq
 RNBBKNRQ rnbbknrq
 RNBKNBRQ rnbknbrq
 RNBKNRQB rnbknrqb
 RBNKBNRQ rbnkbnrq
 RNKBBNRQ rnkbbnrq
 RNKNBBRQ rnknbbrq
 RNKNBRQB rnknbrqb
 RBNKNRBQ rbnknrbq
 RNKBNRBQ rnkbnrbq
 RNKNRBBQ rnknrbbq
 RNKNRQBB rnknrqbb
 BBQRNKRN bbqrnkrn
 BQRBNKRN bqrbnkrn
 BQRNKBRN bqrnkbrn
 BQRNKRNB bqrnkrnb
 QBBRNKRN qbbrnkrn
 QRBBNKRN qrbbnkrn
 QRBNKBRN qrbnkbrn
 QRBNKRNB qrbnkrnb
 QBRNBKRN qbrnbkrn
 QRNBBKRN qrnbbkrn
 QRNKBBRN qrnkbbrn
 QRNKBRNB qrnkbrnb
 QBRNKRBN qbrnkrbn
 QRNBKRBN qrnbkrbn
 QRNKRBBN qrnkrbbn
 QRNKRNBB qrnkrnbb
 BBRQNKRN bbrqnkrn
 BRQBNKRN brqbnkrn
 BRQNKBRN brqnkbrn
 BRQNKRNB brqnkrnb
 RBBQNKRN rbbqnkrn
 RQBBNKRN rqbbnkrn
 RQBNKBRN rqbnkbrn
 RQBNKRNB rqbnkrnb
 RBQNBKRN rbqnbkrn
 RQNBBKRN rqnbbkrn
 RQNKBBRN rqnkbbrn
 RQNKBRNB rqnkbrnb
 RBQNKRBN rbqnkrbn
 RQNBKRBN rqnbkrbn
 RQNKRBBN rqnkrbbn
 RQNKRNBB rqnkrnbb
 BBRNQKRN bbrnqkrn
 BRNBQKRN brnbqkrn
 BRNQKBRN brnqkbrn
 BRNQKRNB brnqkrnb
 RBBNQKRN rbbnqkrn
 RNBBQKRN rnbbqkrn
 RNBQKBRN rnbqkbrn
 RNBQKRNB rnbqkrnb
 RBNQBKRN rbnqbkrn
 RNQBBKRN rnqbbkrn
 RNQKBBRN rnqkbbrn
 RNQKBRNB rnqkbrnb
 RBNQKRBN rbnqkrbn
 RNQBKRBN rnqbkrbn
 RNQKRBBN rnqkrbbn
 RNQKRNBB rnqkrnbb
 BBRNKQRN bbrnkqrn
 BRNBKQRN brnbkqrn
 BRNKQBRN brnkqbrn
 BRNKQRNB brnkqrnb
 RBBNKQRN rbbnkqrn
 RNBBKQRN rnbbkqrn
 RNBKQBRN rnbkqbrn
 RNBKQRNB rnbkqrnb
 RBNKBQRN rbnkbqrn
 RNKBBQRN rnkbbqrn
 RNKQBBRN rnkqbbrn
 RNKQBRNB rnkqbrnb
 RBNKQRBN rbnkqrbn
 RNKBQRBN rnkbqrbn
 RNKQRBBN rnkqrbbn
 RNKQRNBB rnkqrnbb
 BBRNKRQN bbrnkrqn
 BRNBKRQN brnbkrqn
 BRNKRBQN brnkrbqn
 BRNKRQNB brnkrqnb
 RBBNKRQN rbbnkrqn
 RNBBKRQN rnbbkrqn
 RNBKRBQN rnbkrbqn
 RNBKRQNB rnbkrqnb
 RBNKBRQN rbnkbrqn
 RNKBBRQN rnkbbrqn
 RNKRBBQN rnkrbbqn
 RNKRBQNB rnkrbqnb
 RBNKRQBN rbnkrqbn
 RNKBRQBN rnkbrqbn
 RNKRQBBN rnkrqbbn
 RNKRQNBB rnkrqnbb
 BBRNKRNQ bbrnkrnq
 BRNBKRNQ brnbkrnq
 BRNKRBNQ brnkrbnq
 BRNKRNQB brnkrnqb
 RBBNKRNQ rbbnkrnq
 RNBBKRNQ rnbbkrnq
 RNBKRBNQ rnbkrbnq
 RNBKRNQB rnbkrnqb
 RBNKBRNQ rbnkbrnq
 RNKBBRNQ rnkbbrnq
 RNKRBBNQ rnkrbbnq
 RNKRBNQB rnkrbnqb
 RBNKRNBQ rbnkrnbq
 RNKBRNBQ rnkbrnbq
 RNKRNBBQ rnkrnbbq
 RNKRNQBB rnkrnqbb
 BBQRKNNR bbqrknnr
 BQRBKNNR bqrbknnr
 BQRKNBNR bqrknbnr
 BQRKNNRB bqrknnrb
 QBBRKNNR qbbrknnr
 QRBBKNNR qrbbknnr
 QRBKNBNR qrbknbnr
 QRBKNNRB qrbknnrb
 QBRKBNNR qbrkbnnr
 QRKBBNNR qrkbbnnr
 QRKNBBNR qrknbbnr
 QRKNBNRB qrknbnrb
 QBRKNNBR qbrknnbr
 QRKBNNBR qrkbnnbr
 QRKNNBBR qrknnbbr
 QRKNNRBB qrknnrbb
 BBRQKNNR bbrqknnr
 BRQBKNNR brqbknnr
 BRQKNBNR brqknbnr
 BRQKNNRB brqknnrb
 RBBQKNNR rbbqknnr
 RQBBKNNR rqbbknnr
 RQBKNBNR rqbknbnr
 RQBKNNRB rqbknnrb
 RBQKBNNR rbqkbnnr
 RQKBBNNR rqkbbnnr
 RQKNBBNR rqknbbnr
 RQKNBNRB rqknbnrb
 RBQKNNBR rbqknnbr
 RQKBNNBR rqkbnnbr
 RQKNNBBR rqknnbbr
 RQKNNRBB rqknnrbb
 BBRKQNNR bbrkqnnr
 BRKBQNNR brkbqnnr
 BRKQNBNR brkqnbnr
 BRKQNNRB brkqnnrb
 RBBKQNNR rbbkqnnr
 RKBBQNNR rkbbqnnr
 RKBQNBNR rkbqnbnr
 RKBQNNRB rkbqnnrb
 RBKQBNNR rbkqbnnr
 RKQBBNNR rkqbbnnr
 RKQNBBNR rkqnbbnr
 RKQNBNRB rkqnbnrb
 RBKQNNBR rbkqnnbr
 RKQBNNBR rkqbnnbr
 RKQNNBBR rkqnnbbr
 RKQNNRBB rkqnnrbb
 BBRKNQNR bbrknqnr
 BRKBNQNR brkbnqnr
 BRKNQBNR brknqbnr
 BRKNQNRB brknqnrb
 RBBKNQNR rbbknqnr
 RKBBNQNR rkbbnqnr
 RKBNQBNR rkbnqbnr
 RKBNQNRB rkbnqnrb
 RBKNBQNR rbknbqnr
 RKNBBQNR rknbbqnr
 RKNQBBNR rknqbbnr
 RKNQBNRB rknqbnrb
 RBKNQNBR rbknqnbr
 RKNBQNBR rknbqnbr
 RKNQNBBR rknqnbbr
 RKNQNRBB rknqnrbb
 BBRKNNQR bbrknnqr
 BRKBNNQR brkbnnqr
 BRKNNBQR brknnbqr
 BRKNNQRB brknnqrb
 RBBKNNQR rbbknnqr
 RKBBNNQR rkbbnnqr
 RKBNNBQR rkbnnbqr
 RKBNNQRB rkbnnqrb
 RBKNBNQR rbknbnqr
 RKNBBNQR rknbbnqr
 RKNNBBQR rknnbbqr
 RKNNBQRB rknnbqrb
 RBKNNQBR rbknnqbr
 RKNBNQBR rknbnqbr
 RKNNQBBR rknnqbbr
 RKNNQRBB rknnqrbb
 BBRKNNRQ bbrknnrq
 BRKBNNRQ brkbnnrq
 BRKNNBRQ brknnbrq
 BRKNNRQB brknnrqb
 RBBKNNRQ rbbknnrq
 RKBBNNRQ rkbbnnrq
 RKBNNBRQ rkbnnbrq
 RKBNNRQB rkbnnrqb
 RBKNBNRQ rbknbnrq
 RKNBBNRQ rknbbnrq
 RKNNBBRQ rknnbbrq
 RKNNBRQB rknnbrqb
 RBKNNRBQ rbknnrbq
 RKNBNRBQ rknbnrbq
 RKNNRBBQ rknnrbbq
 RKNNRQBB rknnrqbb
 BBQRKNRN bbqrknrn
 BQRBKNRN bqrbknrn
 BQRKNBRN bqrknbrn
 BQRKNRNB bqrknrnb
 QBBRKNRN qbbrknrn
 QRBBKNRN qrbbknrn
 QRBKNBRN qrbknbrn
 QRBKNRNB qrbknrnb
 QBRKBNRN qbrkbnrn
 QRKBBNRN qrkbbnrn
 QRKNBBRN qrknbbrn
 QRKNBRNB qrknbrnb
 QBRKNRBN qbrknrbn
 QRKBNRBN qrkbnrbn
 QRKNRBBN qrknrbbn
 QRKNRNBB qrknrnbb
 BBRQKNRN bbrqknrn
 BRQBKNRN brqbknrn
